,id,value_x,value_y,group,language,follower,friend,time
46,1394996017477476355,"Hume Fwy  (M31), Epping - lanes closed outbound, Hume Fwy outbound at Cooper St, left lane closed dueâ€¦ https://t.co/zLRGGh12ie #victraffic",-0.06666666666666667,west,en,115093,106,Wed May 19 12:39:02 +0000 2021
47,1394997529121492995,"Hume Fwy  (M31), Epping - Road Closed, Hume Fwy outbound at Cooper St closed due to a collision.â€¦ https://t.co/zLRGGh12ie #victraffic",-0.10833333333333334,west,en,115093,106,Wed May 19 12:45:03 +0000 2021
48,1395003088033894401,@TearitallaJay Used to be best show on Tv. Not for the music. Now they to nice,0.8,west,en,247,430,Wed May 19 13:07:08 +0000 2021
49,1395004662571442177,"@NorthTalkPod @RossPayneAU @MattTurfie @marniecohen Another great episode. An uplifting and positive one, always  gâ€¦ https://t.co/QyzLbCAVRY",0.5136363636363637,west,en,392,2003,Wed May 19 13:13:24 +0000 2021
50,1395005053937745921,@sharpman87 Mine is as well. Great dogs.,0.8,west,en,247,430,Wed May 19 13:14:57 +0000 2021
51,1395006968381669376,@che_Mcsorley He needs a hot woman to smack him up lol,0.525,west,en,161,559,Wed May 19 13:22:33 +0000 2021
52,1395007593081307139,@dobbopd Everything is Blood and 30-40% Iâ€™m holding and buying more,0.5,west,en,247,430,Wed May 19 13:25:02 +0000 2021
53,1395008880053153796,@dobbopd Itâ€™s like backing something at $2 and drifts to 10s and wins that type of feeling. Ghost put the food on Sâ€¦ https://t.co/Cdef9k8BXm,0.3,west,en,247,430,Wed May 19 13:30:09 +0000 2021
54,1395009360556744704,"@LJ__andrew Good to see more people on course at Happy Valley.
What's the allowed crowd now?",0.6666666666666666,west,en,76,432,Wed May 19 13:32:04 +0000 2021
55,1395015946301968391,@ScottMorrisonMP @AngusTaylorMP I see the truth is going to get in the road right here this compliments of your friâ€¦ https://t.co/UrrN1zpj5E,0.2857142857142857,west,en,392,2106,Wed May 19 13:58:14 +0000 2021
