,id,value_x,value_y,group,language,follower,friend,time
13323,1395382429448241155,@mmcoffeystamp @voice_prof @ImperialSandC @ImperialCPD Such exciting work,0.15,mid,en,106,284,Thu May 20 14:14:30 +0000 2021
13324,1395382430492631045,what does this mean https://t.co/DvlPcv34Ch,-0.3125,mid,en,81,187,Thu May 20 14:14:31 +0000 2021
13325,1395382455125757955,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,471,104,Thu May 20 14:14:36 +0000 2021
13326,1395382456921083907,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,163,387,Thu May 20 14:14:37 +0000 2021
13327,1395382460809056260,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,34,281,Thu May 20 14:14:38 +0000 2021
13328,1395382467310223361,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,45,125,Thu May 20 14:14:39 +0000 2021
13329,1395382469474627586,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,3,14,Thu May 20 14:14:40 +0000 2021
13330,1395382474998382592,"RT @cryptotrader85: When I came across @wifecoin I thought it was a joke until I watched their #AMA

I really like the concept of this projâ€¦",0.2,mid,en,3,26,Thu May 20 14:14:41 +0000 2021
13331,1395382483361755137,@LaLegale seems really unwise to open the planet up like that.,0.1,mid,en,63850,15978,Thu May 20 14:14:43 +0000 2021
13332,1395382483995160578,Star Trek Strange New Worlds - Could these Classic TOS Characters be in the main cast? https://t.co/CcWK8LHDqg,0.10492424242424242,mid,en,122,484,Thu May 20 14:14:43 +0000 2021
13333,1395382486822055942,Itâ€™s definitely not a weight loss program although portioned meals. Just good food and manageable with â€œcook by numberâ€� cards.,0.35,mid,en,727,1419,Thu May 20 14:14:44 +0000 2021
13334,1395382496418664448,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,521,119,Thu May 20 14:14:46 +0000 2021
13335,1395382501036552197,@ManCity @aguerosergiokun I wish i live in England. I will never miss this.,0.13636363636363635,mid,en,24,13,Thu May 20 14:14:47 +0000 2021
13336,1395382508552814601,@Laoch16 LMAO!,0.75,mid,ht,476,261,Thu May 20 14:14:49 +0000 2021
13337,1395382508640952334,RT @jasmineee_cr: soulmates always find each other,-0.125,mid,en,2545,3226,Thu May 20 14:14:49 +0000 2021
13338,1395382511384018949,@moaninglima It gets even nastier looool. You sound like my Old science teacher ğŸ˜‚ğŸ˜‚ğŸ˜‚,0.25,mid,en,3410,1298,Thu May 20 14:14:50 +0000 2021
13339,1395382529029414917,"""Yes, how experienced you are. Daddy's humanity really taught you a lesson in bed, didnt he?"" The boy replied him wâ€¦ https://t.co/LY39pwoPiF",0.5,mid,en,21,152,Thu May 20 14:14:54 +0000 2021
