,id,value_x,value_y,group,language,follower,friend,time
34,1394964695044575232,"@TimsRedPants I think you're not far off.

The information we need is in the databases, but the only data point whiâ€¦ https://t.co/L1I2zIkBtk",-0.025,east,en,1332,737,Wed May 19 10:34:35 +0000 2021
35,1394964818407342083,"@haaretzcom @MassimoFaggioli My god, has our planet become so depraved, bitter, revengeful and insane to even in aâ€¦ https://t.co/p3GfOU6dO6",-0.55,east,en,35,29,Wed May 19 10:35:04 +0000 2021
36,1394964827685195781,worth every dollar https://t.co/neL85PJ1Z2,0.3,east,en,363,1294,Wed May 19 10:35:06 +0000 2021
37,1394964870718758912,Me opening the vault to lock away more feelings. https://t.co/1RMB6WIFlb,0.5,east,en,613,927,Wed May 19 10:35:17 +0000 2021
38,1394964964654428168,"it's high warrior 

CBI 302 In SSR Case by June https://t.co/XVKGju4zLr",0.16,east,en,816,1699,Wed May 19 10:35:39 +0000 2021
39,1394965078022230017,@grAntlerMensch Can you get one of those seats attached to the handle bar that goes up and down like a lift? Very effective,0.31222222222222223,east,en,183,754,Wed May 19 10:36:06 +0000 2021
40,1394965084443758594,"Arrest Rhea for SSR Murder 

CBI 302 In SSR Case by June",-0.05,east,en,816,1699,Wed May 19 10:36:07 +0000 2021
41,1394965227515559938,@MWL152 @spissy_c Second least points conceded(might have to ignore who theyâ€™ve played though) https://t.co/uP3SPEv5GR,-0.15,east,en,1618,1261,Wed May 19 10:36:42 +0000 2021
42,1394965403705696259,"Arrest Pithani, Keshav, Miranda and all who were present at SSR home 13th and 14th june they did it simple they sawâ€¦ https://t.co/lQotoNbVtQ",-0.0125,east,en,816,1699,Wed May 19 10:37:24 +0000 2021
43,1394965495808499713,@official_lesdog If it was in Melbourne it would have been rightfully abandoned decades ago and St Merge would be full time in Wollongong.,0.35,east,en,555,581,Wed May 19 10:37:46 +0000 2021
44,1394965568269262849,"beautiful nails warrior following you

CBI 302 In SSR Case by June https://t.co/OWEgduiwqG",0.425,east,en,816,1700,Wed May 19 10:38:03 +0000 2021
45,1394965583721009152,All u can eat restaurants are so disgusting,-1.0,east,en,252,247,Wed May 19 10:38:07 +0000 2021
46,1394965584211808257,"Also new video is no longer coming soon its out now

https://t.co/qwEbq5unQP",0.13636363636363635,east,en,20,161,Wed May 19 10:38:07 +0000 2021
